1,04
2,07
3,04
4,30
5,10
6,19
7,08
8,18
9,17
10,11
11,02
12,13
13,21
14,26
15,33
16,31
17,20
18,33
19,25
20,18
21,02
22,31
23,02
24,01
25,26
26,27
27,32
28,32
29,23
30,22
31,27
32,30
33,25
34,04
35,24
36,32
37,07
38,27
39,14
40,18
41,05
42,02
43,33
44,15
45,10
46,32
47,28
48,25
49,23
50,04
51,30
52,29
53,02
54,13
55,08
56,31
57,32
58,05
59,28
60,20
61,06
62,09
63,30
64,06
65,20
66,12
67,09
68,28
69,02
70,09
71,03
72,23
73,12
74,22
75,18
76,16
77,23
78,31
79,28
80,02
81,30
82,01
83,17
84,01
85,30
86,02
87,21
88,19
89,02
90,10
91,03
92,23
93,09
94,20
95,12
96,33
97,10
98,07
99,13
100,33
101,29
102,26
1,04
2,07
3,04
4,30
5,10
6,19
7,08
8,18
9,17
10,11
11,02
12,13
13,21
14,26
15,33
16,31
17,20
18,33
19,25
20,18
21,02
22,31
23,02
24,01
25,26
26,27
27,32
28,32
29,23
30,22
31,27
32,30
33,25
34,04
35,24
36,32
37,07
38,27
39,14
40,18
41,05
42,02
43,33
44,15
45,10
46,32
47,28
48,25
49,23
50,04
51,30
52,29
53,02
54,13
55,08
56,31
57,32
58,05
59,28
60,20
61,06
62,09
63,30
64,06
65,20
66,12
67,09
68,28
69,02
70,09
71,03
72,23
73,12
74,22
75,18
76,16
77,23
78,31
79,28
80,02
81,30
82,01
83,17
84,01
85,30
86,02
87,21
88,19
89,02
90,10
91,03
92,23
93,09
94,20
95,12
96,33
97,10
98,07
99,13
100,33
101,29
102,26
103,23
104,32
105,31
106,06
107,24
108,01
109,05
110,14
111,14
112,21
113,10
114,04
115,32
116,02
117,32
118,17
119,24
120,15
121,09
122,20
123,30
124,13
125,04
126,11
127,25
128,29
129,25
130,10
131,10
132,06
133,01
134,16
135,27
136,11
137,11
138,25
139,10
140,29
141,04
142,28
143,25
144,01
145,23
146,27
147,23
148,24
149,23
150,27
151,07
152,14
153,14
154,24
155,01
156,11
157,20
158,33
159,03
160,30
161,07
162,26
163,07
164,13
165,10
166,24
167,30
168,26
169,24
170,20
171,33
172,08
173,11
174,10
175,08
176,10
177,25
178,24
179,13
180,08
181,33
182,05
183,19
184,30
185,31
186,12
187,22
188,14
189,02
190,12
191,02
192,18
193,21
194,23
195,18
196,14
197,08
198,14
199,26
200,15
201,32
202,06
203,33
204,33
205,03
206,07
207,25
208,27
209,30
210,14
211,27
212,26
213,12
214,09
215,09
216,05
217,07
218,32
219,02
220,08
221,13
222,02
223,07
224,21
225,09
226,01
227,10
228,25
229,06
230,25
231,24
232,32
233,20
234,27
235,07
236,26
237,01
238,26
239,14
240,22
241,20
242,20
243,07
244,17
245,28
246,19
247,07
248,11
249,21
250,21
251,23
252,16
253,05
254,22
255,07
256,09
257,05
258,10
259,03
260,26
261,14
262,14
263,07
264,17
265,05
266,31
267,05
268,21
269,07
270,25
271,24
272,11
273,30
274,32
275,16
276,04
277,26
278,01
279,07
280,08
281,16
282,06
283,09
284,26
285,18
286,22
287,17
288,20
289,28
290,12
291,02
292,01
293,16
294,07
295,14
296,11
297,15
298,18
299,26
300,21
301,12
302,31
303,06
304,27
305,28
306,17
307,10
308,15
309,13
310,02
311,09
312,06
313,18
314,02
315,15
316,31
317,25
318,30
319,03
320,16
321,29
322,29
323,18
324,21
325,18
326,30
327,22
328,04
329,20
330,06
331,31
332,14
333,18
334,31
335,31
336,26
337,25
338,23
339,20
340,20
341,12
342,10
343,14
344,13
345,01
346,16
347,23
348,20
349,33
350,08
351,16
352,17
353,17
354,19
355,28
356,24
357,28
358,29
359,11
360,20
361,04
362,27
