objectIndex,max_jf,can_rwIds,ed_rwIds
201500006182,23,"32030001,32030002",NULL
201500006199,23,"32030001,32030002","32030001,32030002"
201500006363,20,"32030001,32030002","32030001,32030002"
201500006602,13,"32030001,32030002","32030001,32030002"
201500006748,10,"32030001,32030002","32030001,32030002"
201500007051,2,32030001,32030001
201500007999,40,"32030001,32030002,32030003","32030001,32030002,32030003"
201500008189,13,"32030001,32030002","32030001,32030002"
201500008201,36,"32030001,32030002,32030003","32030001,32030002,32030003"
201500008314,10,"32030001,32030002","32030001,32030002"
201500008506,10,"32030001,32030002","32030001,32030002"
201500008545,200,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008"
201500008593,17,"32030001,32030002","32030001,32030002"
201500008833,300,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
201500008991,81,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201500009029,94,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201500009223,3,32030001,32030001
201500009311,12,"32030001,32030002","32030001,32030002"
201500009581,33,"32030001,32030002,32030003","32030002,32030003"
201500009984,20,"32030001,32030002","32030001,32030002"
201500010020,20,"32030001,32030002","32030001,32030002"
201500010057,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201500010073,20,"32030001,32030002","32030001,32030002"
201500010289,10,"32030001,32030002","32030001,32030002"
201500010541,16,"32030001,32030002","32030001,32030002"
201500010757,7,32030001,32030001
201500010936,22,"32030001,32030002","32030001,32030002"
201500011359,13,"32030001,32030002","32030001,32030002"
201500012165,9,32030001,NULL
201500012547,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201500012735,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201500012813,1,32030001,32030001
201500013412,31,"32030001,32030002,32030003","32030001,32030002,32030003"
201500013431,1,32030001,32030001
201500013601,1,32030001,32030001
201500013967,14,"32030001,32030002",NULL
201500014065,1,32030001,32030001
201500014122,1,32030001,32030001
201500014276,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201500014574,81,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201500014684,20,"32030001,32030002","32030001,32030002"
201500014692,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201500014713,10,"32030001,32030002","32030001,32030002"
201500015120,7,32030001,32030001
201500015317,10,"32030001,32030002","32030001,32030002"
201500015588,41,"32030001,32030002,32030003","32030001,32030002,32030003"
201500015742,10,"32030001,32030002","32030001,32030002"
201500015941,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201500016165,10,"32030001,32030002",NULL
201500016662,13,"32030001,32030002","32030001,32030002"
201500017005,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201500017094,10,"32030001,32030002","32030001,32030002"
201500017784,25,"32030001,32030002","32030001,32030002"
201500017915,42,"32030001,32030002,32030003","32030001,32030002,32030003"
201500018140,14,"32030001,32030002","32030001,32030002"
201500019826,26,"32030001,32030002","32030001,32030002"
201500019850,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201500019856,10,"32030001,32030002",NULL
201500020935,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201500020941,90,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201500021009,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201500021095,291,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009",NULL
201500022505,71,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201500022538,60,"32030001,32030002,32030003,32030004",NULL
201500023569,20,"32030001,32030002","32030001,32030002"
201500023746,21,"32030001,32030002","32030001,32030002"
201500024013,1,32030001,32030001
201500024283,10,"32030001,32030002",NULL
201500024324,21,"32030001,32030002","32030001,32030002"
201500024551,20,"32030001,32030002","32030001,32030002"
201500024754,21,"32030001,32030002","32030001,32030002"
201500024856,88,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201500024914,99,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201500025434,10,"32030001,32030002","32030001,32030002"
201500025841,34,"32030001,32030002,32030003","32030001,32030002,32030003"
201500026015,2,32030001,NULL
201500026481,5,32030001,32030001
201500026969,10,"32030001,32030002","32030001,32030002"
201500027091,1,32030001,32030001
201500027676,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201500027851,24,"32030001,32030002","32030001,32030002"
201500028555,6,32030001,32030001
201500028655,10,"32030001,32030002","32030001,32030002"
201500029033,17,"32030001,32030002","32030001,32030002"
201500029124,10,"32030001,32030002","32030001,32030002"
201500029547,34,"32030001,32030002,32030003","32030001,32030002,32030003"
201500029849,30,"32030001,32030002,32030003","32030001,32030002"
201500029889,23,"32030001,32030002","32030001,32030002"
201500030251,10,"32030001,32030002","32030001,32030002"
201500030351,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201500030361,13,"32030001,32030002","32030001,32030002"
201500030362,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201500030363,20,"32030001,32030002","32030001,32030002"
201500030380,5,32030001,NULL
201500030431,55,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201500030463,47,"32030001,32030002,32030003","32030001,32030002,32030003"
201500030465,11,"32030001,32030002","32030001,32030002"
201500030469,15,"32030001,32030002","32030001,32030002"
201600000020,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600000045,10,"32030001,32030002","32030001,32030002"
201600000101,61,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600000106,1,32030001,32030001
201600000112,37,"32030001,32030002,32030003",NULL
201600000119,21,"32030001,32030002","32030001,32030002"
201600000151,10,"32030001,32030002","32030001,32030002"
201600000276,10,"32030001,32030002","32030001,32030002"
201600000283,20,"32030001,32030002","32030001,32030002"
201600000313,44,"32030001,32030002,32030003","32030001,32030002,32030003"
201600000338,11,"32030001,32030002","32030001,32030002"
201600000360,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600000378,56,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600000390,20,"32030001,32030002","32030001,32030002"
201600000409,1,32030001,32030001
201600000492,14,"32030001,32030002","32030001,32030002"
201600000590,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201600000603,90,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201600000618,20,"32030001,32030002","32030001,32030002"
201600000642,18,"32030001,32030002",NULL
201600000906,36,"32030001,32030002,32030003","32030001,32030002,32030003"
201600000988,49,"32030001,32030002,32030003","32030001,32030002,32030003"
201600001043,10,"32030001,32030002","32030001,32030002"
201600001048,1,32030001,32030001
201600001167,1,32030001,32030001
201600001180,10,"32030001,32030002","32030001,32030002"
201600001203,90,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201600001211,1,32030001,32030001
201600001221,26,"32030001,32030002","32030001,32030002"
201600001288,13,"32030001,32030002",NULL
201600001330,50,"32030001,32030002,32030003,32030004",NULL
201600001417,120,"32030001,32030002,32030003,32030004,32030005,32030006","32030001,32030002,32030003,32030004,32030005,32030006"
201600001687,42,"32030001,32030002,32030003","32030001,32030002,32030003"
201600001735,3,32030001,32030001
201600001748,7,32030001,32030001
201600001752,1,32030001,32030001
201600001759,27,"32030001,32030002",NULL
201600001779,121,"32030001,32030002,32030003,32030004,32030005,32030006","32030001,32030002,32030003,32030004,32030005,32030006"
201600001820,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201600001850,70,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600001852,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201600001956,1,32030001,32030001
201600001979,10,"32030001,32030002","32030001,32030002"
201600002251,1,32030001,32030001
201600002253,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201600002291,181,"32030001,32030002,32030003,32030004,32030005,32030006,32030007","32030001,32030002,32030003,32030004,32030005,32030006,32030007"
201600002359,20,"32030001,32030002","32030001,32030002"
201600002534,10,"32030001,32030002","32030001,32030002"
201600002864,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201600002884,11,"32030001,32030002","32030001,32030002"
201600002919,11,"32030001,32030002","32030001,32030002"
201600002935,130,"32030001,32030002,32030003,32030004,32030005,32030006","32030001,32030002,32030003,32030004,32030005,32030006"
201600002945,1,32030001,32030001
201600002981,40,"32030001,32030002,32030003","32030001,32030002,32030003"
201600003420,12,"32030001,32030002","32030001,32030002"
201600003500,11,"32030001,32030002","32030001,32030002"
201600003643,24,"32030001,32030002","32030001,32030002"
201600003796,10,"32030001,32030002","32030001,32030002"
201600003880,83,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201600003989,23,"32030001,32030002","32030001,32030002"
201600004062,21,"32030001,32030002","32030001,32030002"
201600004329,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600004341,11,"32030001,32030002","32030001,32030002"
201600004398,68,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600004534,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201600004870,12,"32030001,32030002",NULL
201600004980,300,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
201600005009,20,"32030001,32030002","32030001,32030002"
201600005028,10,"32030001,32030002",NULL
201600005242,300,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
201600005287,61,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600005296,22,"32030001,32030002","32030001,32030002"
201600005388,39,"32030001,32030002,32030003","32030001,32030002,32030003"
201600005719,1,32030001,32030001
201600005724,10,"32030001,32030002","32030001,32030002"
201600005793,10,"32030001,32030002","32030001,32030002"
201600005803,300,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
201600005810,10,"32030001,32030002","32030001,32030002"
201600005854,10,"32030001,32030002",32030002
201600005896,3,32030001,32030001
201600006023,1,32030001,32030001
201600006077,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600006125,200,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008"
201600006165,37,"32030001,32030002,32030003","32030001,32030002,32030003"
201600006226,28,"32030001,32030002","32030001,32030002"
201600006272,12,"32030001,32030002",32030002
201600006350,35,"32030001,32030002,32030003","32030001,32030002,32030003"
201600006450,32,"32030001,32030002,32030003","32030001,32030002"
201600006590,10,"32030001,32030002","32030001,32030002"
201600006825,10,"32030001,32030002","32030001,32030002"
201600007225,10,"32030001,32030002","32030001,32030002"
201600007530,10,"32030001,32030002","32030001,32030002"
201600007633,37,"32030001,32030002,32030003","32030001,32030002,32030003"
201600007923,91,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201600007995,11,"32030001,32030002",NULL
201600008435,14,"32030001,32030002","32030001,32030002"
201600008540,8,32030001,NULL
201600008660,155,"32030001,32030002,32030003,32030004,32030005,32030006,32030007","32030001,32030002,32030003,32030004,32030005,32030006,32030007"
201600008691,31,"32030001,32030002,32030003","32030001,32030002,32030003"
201600008759,50,"32030001,32030002,32030003,32030004",NULL
201600008809,22,"32030001,32030002","32030001,32030002"
201600009051,10,"32030001,32030002",NULL
201600009088,3,32030001,32030001
201600009450,10,"32030001,32030002",NULL
201600009921,20,"32030001,32030002",NULL
201600010607,201,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008"
201600010854,303,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
201600010864,29,"32030001,32030002","32030001,32030002"
201600011081,1,32030001,32030001
201600012557,22,"32030001,32030002","32030001,32030002"
201600012819,55,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600012921,30,"32030001,32030002,32030003",NULL
201600013034,30,"32030001,32030002,32030003","32030001,32030002"
201600013117,10,"32030001,32030002",NULL
201600013282,20,"32030001,32030002",NULL
201600013490,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600014136,30,"32030001,32030002,32030003",NULL
201600014169,40,"32030001,32030002,32030003","32030001,32030002,32030003"
201600014305,301,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
201600014308,40,"32030001,32030002,32030003","32030001,32030002,32030003"
201600014862,10,"32030001,32030002","32030001,32030002"
201600015317,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600015607,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201600015610,13,"32030001,32030002",NULL
201600015958,10,"32030001,32030002","32030001,32030002"
201600016032,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600016054,3,32030001,32030001
201600016162,10,"32030001,32030002",NULL
201600016238,51,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600016240,2,32030001,32030001
201600017272,10,"32030001,32030002","32030001,32030002"
201600017959,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201600020883,20,"32030001,32030002","32030001,32030002"
201600022104,34,"32030001,32030002,32030003","32030001,32030002,32030003"
201600023219,10,"32030001,32030002","32030001,32030002"
201600024085,11,"32030001,32030002","32030001,32030002"
201600024129,35,"32030001,32030002,32030003","32030001,32030002,32030003"
201600024214,20,"32030001,32030002","32030001,32030002"
201600024416,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201600024588,38,"32030001,32030002,32030003","32030001,32030002,32030003"
201600025168,34,"32030001,32030002,32030003","32030001,32030002,32030003"
201600025790,11,"32030001,32030002","32030001,32030002"
201600026457,21,"32030001,32030002","32030001,32030002"
201600027254,110,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201600027263,11,"32030001,32030002","32030001,32030002"
201600027297,40,"32030001,32030002,32030003","32030001,32030002,32030003"
201600028044,11,"32030001,32030002","32030001,32030002"
201600028064,40,"32030001,32030002,32030003","32030001,32030002,32030003"
201600028236,10,"32030001,32030002","32030001,32030002"
201600028276,14,"32030001,32030002","32030001,32030002"
201600028289,49,"32030001,32030002,32030003","32030001,32030002,32030003"
201600028404,2,32030001,32030001
201600028626,2,32030001,32030001
201600028771,21,"32030001,32030002","32030001,32030002"
201600028773,6,32030001,NULL
201600028866,84,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201600029031,23,"32030001,32030002","32030001,32030002"
201600029130,10,"32030001,32030002","32030001,32030002"
201600029551,64,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600029602,85,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201600029776,1,32030001,NULL
201600029987,64,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600030047,11,"32030001,32030002","32030001,32030002"
201600030085,18,"32030001,32030002","32030001,32030002"
201600030090,10,"32030001,32030002",NULL
201600030299,10,"32030001,32030002","32030001,32030002"
201600030428,57,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600030448,160,"32030001,32030002,32030003,32030004,32030005,32030006,32030007","32030001,32030002,32030003,32030004,32030005,32030006,32030007"
201600030450,15,"32030001,32030002","32030001,32030002"
201600030484,45,"32030001,32030002,32030003","32030001,32030002,32030003"
201600030490,10,"32030001,32030002","32030001,32030002"
201600030507,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201600030508,22,"32030001,32030002","32030001,32030002"
201600030526,55,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201600030529,11,"32030001,32030002","32030001,32030002"
201600030531,15,"32030001,32030002","32030001,32030002"
201600030541,120,"32030001,32030002,32030003,32030004,32030005,32030006","32030001,32030002,32030003,32030004,32030005,32030006"
201600030542,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201600030544,2,32030001,32030001
201700000022,10,"32030001,32030002","32030001,32030002"
201700000176,20,"32030001,32030002",NULL
201700000295,6,32030001,NULL
201700000532,32,"32030001,32030002,32030003","32030001,32030002,32030003"
201700000570,1,32030001,32030001
201700000615,10,"32030001,32030002","32030001,32030002"
201700000773,1,32030001,32030001
201700000807,10,"32030001,32030002",NULL
201700000815,53,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700000926,11,"32030001,32030002","32030001,32030002"
201700000930,2,32030001,32030001
201700000981,262,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009"
201700001147,40,"32030001,32030002,32030003","32030001,32030002,32030003"
201700001168,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201700001334,12,"32030001,32030002",NULL
201700001370,11,"32030001,32030002","32030001,32030002"
201700001382,36,"32030001,32030002,32030003","32030001,32030002,32030003"
201700001439,13,"32030001,32030002","32030001,32030002"
201700001474,11,"32030001,32030002","32030001,32030002"
201700001491,34,"32030001,32030002,32030003","32030001,32030002,32030003"
201700001539,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201700001656,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201700001834,22,"32030001,32030002","32030001,32030002"
201700001893,2,32030001,32030001
201700001941,40,"32030001,32030002,32030003","32030001,32030002,32030003"
201700002068,1,32030001,32030001
201700002089,40,"32030001,32030002,32030003","32030001,32030002,32030003"
201700002379,1,32030001,32030001
201700002806,38,"32030001,32030002,32030003","32030001,32030002,32030003"
201700002957,10,"32030001,32030002",NULL
201700002999,34,"32030001,32030002,32030003","32030001,32030002,32030003"
201700003020,1,32030001,32030001
201700003040,10,"32030001,32030002","32030001,32030002"
201700003101,20,"32030001,32030002","32030001,32030002"
201700003170,1,32030001,32030001
201700003238,53,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700003260,20,"32030001,32030002","32030001,32030002"
201700003441,1,32030001,32030001
201700003486,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700003568,10,"32030001,32030002",NULL
201700003588,21,"32030001,32030002","32030001,32030002"
201700003610,20,"32030001,32030002","32030001,32030002"
201700003659,20,"32030001,32030002",32030002
201700003789,4,32030001,32030001
201700003796,31,"32030001,32030002,32030003","32030001,32030002,32030003"
201700003838,40,"32030001,32030002,32030003","32030001,32030002,32030003"
201700003967,10,"32030001,32030002","32030001,32030002"
201700004128,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201700004144,20,"32030001,32030002","32030001,32030002"
201700004189,13,"32030001,32030002","32030001,32030002"
201700004326,10,"32030001,32030002","32030001,32030002"
201700004356,1,32030001,32030001
201700004506,11,"32030001,32030002",NULL
201700004620,41,"32030001,32030002,32030003","32030001,32030002,32030003"
201700004818,42,"32030001,32030002,32030003","32030001,32030002,32030003"
201700004909,12,"32030001,32030002","32030001,32030002"
201700004931,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201700005087,10,"32030001,32030002","32030001,32030002"
201700005106,10,"32030001,32030002","32030001,32030002"
201700005215,30,"32030001,32030002,32030003",NULL
201700005293,10,"32030001,32030002","32030001,32030002"
201700005367,220,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008",NULL
201700005383,210,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008",NULL
201700005563,61,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700005692,10,"32030001,32030002","32030001,32030002"
201700005756,10,"32030001,32030002","32030001,32030002"
201700005846,23,"32030001,32030002","32030001,32030002"
201700005990,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201700006070,10,"32030001,32030002","32030001,32030002"
201700006197,300,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
201700006246,2,32030001,32030001
201700006390,160,"32030001,32030002,32030003,32030004,32030005,32030006,32030007","32030001,32030002,32030003,32030004,32030005,32030006,32030007"
201700006534,20,"32030001,32030002","32030001,32030002"
201700006630,20,"32030001,32030002","32030001,32030002"
201700007000,34,"32030001,32030002,32030003","32030001,32030002,32030003"
201700007697,20,"32030001,32030002",NULL
201700007824,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201700007858,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700008159,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201700008569,300,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
201700008618,2,32030001,32030001
201700008659,20,"32030001,32030002","32030001,32030002"
201700008854,1,32030001,32030001
201700009067,10,"32030001,32030002","32030001,32030002"
201700009504,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201700009603,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201700009767,250,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009"
201700009774,200,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008","32030002,32030003,32030004,32030005,32030006,32030007,32030008"
201700010041,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700010055,13,"32030001,32030002","32030001,32030002"
201700010303,102,"32030001,32030002,32030003,32030004,32030005",NULL
201700010320,1,32030001,NULL
201700010424,30,"32030001,32030002,32030003",NULL
201700010441,68,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700010981,120,"32030001,32030002,32030003,32030004,32030005,32030006","32030001,32030002,32030003,32030004,32030005"
201700011301,212,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008",NULL
201700011436,90,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201700012249,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700012714,1,32030001,32030001
201700012880,25,"32030001,32030002",NULL
201700012888,17,"32030001,32030002","32030001,32030002"
201700013085,96,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201700013241,25,"32030001,32030002","32030001,32030002"
201700013679,20,"32030001,32030002",NULL
201700013788,10,"32030001,32030002","32030001,32030002"
201700013992,36,"32030001,32030002,32030003","32030001,32030002,32030003"
201700014093,20,"32030001,32030002",NULL
201700014107,70,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700014145,17,"32030001,32030002","32030001,32030002"
201700014271,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201700014589,20,"32030001,32030002",NULL
201700015070,10,"32030001,32030002","32030001,32030002"
201700015086,24,"32030001,32030002","32030001,32030002"
201700015207,11,"32030001,32030002","32030001,32030002"
201700015357,10,"32030001,32030002","32030001,32030002"
201700015432,120,"32030001,32030002,32030003,32030004,32030005,32030006","32030001,32030002,32030003,32030004,32030005,32030006"
201700015837,24,"32030001,32030002","32030001,32030002"
201700016538,23,"32030001,32030002","32030001,32030002"
201700016607,10,"32030001,32030002","32030001,32030002"
201700016713,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700016753,10,"32030001,32030002","32030001,32030002"
201700016838,40,"32030001,32030002,32030003","32030001,32030002,32030003"
201700017118,10,"32030001,32030002","32030001,32030002"
201700017519,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201700017781,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201700017791,23,"32030001,32030002","32030001,32030002"
201700018941,20,"32030001,32030002","32030001,32030002"
201700019428,39,"32030001,32030002,32030003","32030001,32030002,32030003"
201700019440,13,"32030001,32030002","32030001,32030002"
201700019452,36,"32030001,32030002,32030003","32030001,32030002,32030003"
201700020306,22,"32030001,32030002","32030001,32030002"
201700021524,10,"32030001,32030002","32030001,32030002"
201700021572,120,"32030001,32030002,32030003,32030004,32030005,32030006","32030001,32030002,32030003,32030004,32030005,32030006"
201700021962,10,"32030001,32030002","32030001,32030002"
201700022195,11,"32030001,32030002","32030001,32030002"
201700022543,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201700024439,19,"32030001,32030002","32030001,32030002"
201700024922,25,"32030001,32030002","32030001,32030002"
201700025097,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201700025354,117,"32030001,32030002,32030003,32030004,32030005",NULL
201700026101,10,"32030001,32030002","32030001,32030002"
201700026415,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201700026753,51,"32030001,32030002,32030003,32030004","32030001,32030002,32030003"
201700028833,14,"32030001,32030002","32030001,32030002"
201700029383,1,32030001,32030001
201700029463,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003"
201700029632,13,"32030001,32030002","32030001,32030002"
201700029890,54,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700030019,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700030044,52,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700030127,20,"32030001,32030002",NULL
201700030345,51,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700030412,12,"32030001,32030002","32030001,32030002"
201700030419,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700030427,68,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700030444,35,"32030001,32030002,32030003","32030001,32030002,32030003"
201700030448,15,"32030001,32030002","32030001,32030002"
201700030457,48,"32030001,32030002,32030003","32030001,32030002,32030003"
201700030473,34,"32030001,32030002,32030003","32030001,32030002,32030003"
201700030476,10,"32030001,32030002","32030001,32030002"
201700030477,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201700030483,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201800000048,10,"32030001,32030002","32030001,32030002"
201800000081,20,"32030001,32030002","32030001,32030002"
201800000088,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201800000141,38,"32030001,32030002,32030003","32030001,32030002,32030003"
201800000247,67,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201800000299,10,"32030001,32030002",NULL
201800000342,30,"32030001,32030002,32030003","32030001,32030002,32030003"
201800000354,49,"32030001,32030002,32030003","32030001,32030002,32030003"
201800000362,106,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
201800000393,36,"32030001,32030002,32030003","32030001,32030002,32030003"
201800000404,10,"32030001,32030002","32030001,32030002"
201800000417,20,"32030001,32030002","32030001,32030002"
201800000493,56,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201800000526,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
201800000670,10,"32030001,32030002","32030001,32030002"
201800000672,1,32030001,32030001
201800000789,2,32030001,32030001
